id,age,tenure_months,monthly_charges,contract_type,payment_method,support_calls,churn
85,25,8,91.2,Month-to-month,Electronic check,0,1
86,48,5,29.78,One year,Credit card,0,0
87,35,4,37.08,Two year,Electronic check,5,1
88,42,7,56.26,Month-to-month,Electronic check,3,0
89,48,25,90.82,Two year,Credit card,4,0
90,48,29,105.18,Month-to-month,Credit card,2,0
91,51,62,113.81,One year,Bank transfer,4,0
92,40,19,86.1,Two year,Electronic check,0,0
93,36,9,69.28,One year,Mailed check,0,0
94,40,12,91.67,Month-to-month,Credit card,1,0
95,18,1,41.54,Month-to-month,Electronic check,2,1
96,21,9,25.23,Month-to-month,Electronic check,2,0
97,23,5,81.67,One year,Electronic check,1,0
98,28,3,45.31,Two year,Bank transfer,5,0
99,47,11,70.02,Month-to-month,Electronic check,1,1
100,29,3,73.44,Month-to-month,Credit card,3,0
101,36,1,76.35,Month-to-month,Electronic check,3,1
102,60,22,96.74,One year,Electronic check,1,0
103,37,34,95.9,One year,Credit card,2,0
104,52,13,76.83,Month-to-month,Credit card,0,1
105,28,0,58.95,One year,Bank transfer,3,1
106,39,10,74.19,Month-to-month,Credit card,1,0
107,28,1,55.24,One year,Electronic check,1,1
108,37,25,68.84,Month-to-month,Mailed check,4,1
109,53,47,142.5,Month-to-month,Electronic check,3,0
110,18,19,77.4,One year,Mailed check,0,0
111,48,6,82.16,One year,Credit card,1,0
112,45,61,61.51,Month-to-month,Credit card,1,0
113,33,25,99.25,One year,Electronic check,3,0
114,21,1,89.16,Month-to-month,Mailed check,1,0
115,43,5,89.93,Month-to-month,Credit card,0,0
116,34,30,79.87,Two year,Bank transfer,1,0
117,45,5,96.6,Two year,Electronic check,1,0
118,42,16,104.19,Month-to-month,Mailed check,4,1
119,64,11,78.73,Two year,Electronic check,1,0
120,38,8,68.33,One year,Mailed check,2,0
121,27,2,92.66,Month-to-month,Mailed check,5,1
122,44,27,51.45,Month-to-month,Mailed check,1,0
123,45,22,55.35,Month-to-month,Mailed check,0,0
124,61,48,75.87,One year,Mailed check,1,0
125,53,6,27.37,Two year,Electronic check,0,0
126,46,1,90.84,Month-to-month,Electronic check,3,1
127,62,54,54.03,Month-to-month,Mailed check,1,0
128,25,21,61.36,Month-to-month,Credit card,1,0
129,33,0,64.67,Month-to-month,Credit card,2,0
130,29,72,81.78,Two year,Electronic check,1,0
131,36,50,68.91,Month-to-month,Mailed check,3,0
132,22,10,69.82,One year,Bank transfer,0,0
133,50,21,71.66,Month-to-month,Mailed check,0,0
134,38,7,59.87,One year,Bank transfer,3,0
135,21,6,51.57,One year,Credit card,1,0
136,27,12,98.84,One year,Electronic check,0,0
137,46,8,18.59,Month-to-month,Mailed check,2,0
138,53,9,66.21,One year,Mailed check,2,0
139,69,1,58.43,One year,Bank transfer,0,0
140,82,72,91.27,One year,Electronic check,0,0
141,47,23,37.09,One year,Bank transfer,0,0
142,28,2,57.81,Two year,Electronic check,1,0
143,18,3,67.89,Month-to-month,Bank transfer,3,1
144,45,31,101.4,Month-to-month,Bank transfer,1,0
145,30,72,89.1,Two year,Electronic check,0,0
146,36,16,42.81,Month-to-month,Credit card,1,1
147,33,5,58.56,Two year,Credit card,2,0
148,40,72,102.95,One year,Mailed check,1,0
149,56,24,43.58,Two year,Credit card,2,0
150,44,7,69.08,One year,Credit card,1,0
151,39,18,72.47,Two year,Electronic check,1,0
152,27,17,62.91,One year,Bank transfer,1,0
153,18,29,141.74,Month-to-month,Bank transfer,1,0
154,35,22,62.98,Month-to-month,Bank transfer,2,0
155,41,65,90.99,Month-to-month,Credit card,0,0
156,66,39,56.69,Month-to-month,Mailed check,3,0
157,43,10,84.69,Two year,Electronic check,3,0
158,55,61,100.92,Month-to-month,Mailed check,0,0
159,35,7,56.35,One year,Credit card,4,0
160,25,12,70.43,Month-to-month,Mailed check,4,0
161,28,1,47.77,Month-to-month,Electronic check,0,1
162,31,31,46.04,Two year,Electronic check,2,0
163,71,20,98.92,Month-to-month,Bank transfer,2,0
164,30,32,60.95,One year,Electronic check,4,1
165,53,72,20.46,Month-to-month,Mailed check,0,0
166,29,11,115.78,Month-to-month,Electronic check,2,0
167,55,34,55.05,Month-to-month,Mailed check,1,0
168,47,25,67.59,One year,Electronic check,0,1
169,39,53,118.97,Month-to-month,Electronic check,2,0
170,41,69,76.81,Two year,Bank transfer,0,0
171,32,51,73.57,One year,Electronic check,2,0
172,48,15,41.55,Month-to-month,Electronic check,2,0
173,35,5,29.88,Month-to-month,Bank transfer,2,0
174,24,2,66.14,Month-to-month,Electronic check,0,1
175,24,7,80.12,One year,Electronic check,0,0
176,44,12,79.44,Month-to-month,Mailed check,5,1
177,64,65,67.72,Month-to-month,Mailed check,0,0
178,44,10,72.01,Month-to-month,Mailed check,2,0
179,40,0,24.07,Month-to-month,Credit card,2,0
180,46,10,83.0,One year,Mailed check,3,0
181,60,11,75.69,Month-to-month,Bank transfer,1,0
182,45,6,120.24,Month-to-month,Credit card,4,1
183,36,19,73.04,Month-to-month,Mailed check,0,1
184,57,12,48.23,One year,Credit card,3,0
185,48,1,68.88,One year,Mailed check,1,0
186,63,15,64.06,Month-to-month,Bank transfer,0,0
187,44,35,86.12,Month-to-month,Credit card,1,0
188,24,25,74.42,One year,Electronic check,2,0
189,22,1,38.65,Month-to-month,Credit card,4,0
190,65,61,38.26,One year,Mailed check,2,0
191,66,19,79.42,Month-to-month,Bank transfer,0,1
192,39,15,106.83,Month-to-month,Mailed check,2,0
193,36,6,72.88,Month-to-month,Electronic check,1,1
194,62,42,96.63,Month-to-month,Electronic check,3,0
195,26,29,99.67,One year,Credit card,0,0
196,29,0,76.67,Month-to-month,Bank transfer,3,1
197,51,2,49.94,Month-to-month,Credit card,1,1
198,36,1,75.03,Month-to-month,Electronic check,6,1
199,41,18,102.88,Month-to-month,Electronic check,1,0
200,39,72,94.05,One year,Electronic check,0,0
201,46,61,97.86,One year,Electronic check,1,0
202,61,21,61.59,Two year,Mailed check,0,0
203,43,72,75.74,Month-to-month,Credit card,2,0
204,51,13,68.98,Month-to-month,Credit card,1,0
205,18,8,69.92,Month-to-month,Mailed check,0,0
206,41,16,101.6,Two year,Electronic check,0,0
207,30,6,18.0,Month-to-month,Bank transfer,4,0
208,24,8,71.96,Month-to-month,Bank transfer,1,0
209,29,17,70.56,One year,Bank transfer,1,0
210,37,23,39.16,Month-to-month,Mailed check,1,0
211,54,42,93.09,Month-to-month,Electronic check,1,0
212,23,13,53.84,Month-to-month,Electronic check,2,1
213,42,31,65.72,One year,Credit card,0,0
214,35,0,116.22,One year,Bank transfer,1,0
215,37,6,96.15,Month-to-month,Credit card,0,0
216,56,4,84.96,One year,Electronic check,1,0
217,49,22,82.82,Month-to-month,Mailed check,0,0
218,60,3,66.33,Month-to-month,Electronic check,3,1
219,39,72,130.78,Two year,Credit card,1,0
220,32,19,92.9,One year,Electronic check,1,0
221,38,46,58.16,Two year,Bank transfer,2,0
222,45,1,35.15,One year,Electronic check,0,0
223,44,23,87.62,Month-to-month,Electronic check,1,1
224,26,35,73.85,Month-to-month,Electronic check,1,0
225,43,21,37.43,Month-to-month,Mailed check,0,0
226,45,18,83.41,Month-to-month,Credit card,0,0
227,77,31,67.92,Month-to-month,Credit card,3,1
228,68,72,94.07,Month-to-month,Bank transfer,1,0
229,30,22,84.34,Month-to-month,Mailed check,2,1
230,37,45,61.54,Two year,Credit card,0,0
231,21,10,87.32,Month-to-month,Electronic check,1,0
232,33,13,59.5,Month-to-month,Credit card,1,1
233,46,22,62.48,One year,Bank transfer,3,0
234,58,4,57.29,One year,Mailed check,2,0
235,31,4,98.87,Month-to-month,Electronic check,1,1
236,32,72,73.79,One year,Electronic check,1,0
237,18,55,112.56,One year,Mailed check,2,0
238,39,68,124.79,Two year,Credit card,5,0
239,27,47,58.58,Month-to-month,Bank transfer,0,0
240,34,39,18.0,Month-to-month,Mailed check,3,0
241,29,58,104.81,One year,Mailed check,1,0
242,40,24,65.05,Month-to-month,Credit card,1,0
243,18,9,49.7,One year,Electronic check,2,1
244,21,50,62.78,One year,Electronic check,1,0
245,71,26,63.53,One year,Bank transfer,1,0
246,23,6,103.33,Two year,Electronic check,2,0
247,26,72,84.8,One year,Electronic check,2,0
248,67,33,107.04,Two year,Mailed check,1,0
249,82,7,83.41,One year,Electronic check,3,0
250,25,17,64.82,Month-to-month,Credit card,3,0
251,36,24,63.84,One year,Credit card,1,0
252,46,14,86.14,One year,Credit card,1,0
253,66,42,96.81,Two year,Credit card,1,0
254,28,22,98.22,Month-to-month,Electronic check,0,1
255,38,11,65.11,Month-to-month,Mailed check,1,0
256,52,26,78.28,Two year,Bank transfer,1,0
257,48,52,92.4,Month-to-month,Electronic check,0,0
258,36,2,60.7,One year,Credit card,1,0
259,40,5,42.38,Month-to-month,Electronic check,2,1
260,22,30,54.34,Month-to-month,Mailed check,1,0
261,38,39,69.82,Month-to-month,Bank transfer,0,0
262,38,11,88.21,Two year,Credit card,1,0
263,45,6,102.37,Month-to-month,Bank transfer,2,0
264,34,72,46.9,One year,Bank transfer,0,0
265,48,10,56.57,One year,Electronic check,3,0
266,56,4,61.65,One year,Bank transfer,0,0
267,44,25,93.62,Month-to-month,Bank transfer,2,0
268,46,23,60.25,Month-to-month,Mailed check,1,0
269,42,3,59.71,Two year,Credit card,1,0
270,42,23,38.15,Month-to-month,Electronic check,1,1
271,31,1,82.24,Month-to-month,Electronic check,3,1
272,46,23,69.42,Two year,Credit card,1,0
273,40,8,54.85,Month-to-month,Electronic check,1,0
274,71,10,65.01,Month-to-month,Bank transfer,1,0
275,64,9,99.52,Two year,Mailed check,2,0
276,47,18,47.58,Month-to-month,Credit card,3,0
277,31,35,54.21,Month-to-month,Electronic check,2,0
278,26,21,104.46,Month-to-month,Electronic check,0,1
279,58,7,72.94,One year,Credit card,1,1
280,45,3,87.19,Two year,Bank transfer,0,0
281,48,37,85.59,One year,Mailed check,0,0
282,18,12,70.92,Two year,Mailed check,2,0
283,54,22,64.59,Month-to-month,Mailed check,1,0
284,48,11,92.44,One year,Credit card,0,1
285,26,6,99.96,Month-to-month,Bank transfer,1,0
286,35,4,97.7,Two year,Credit card,1,0
287,45,6,41.26,Two year,Credit card,3,0
288,42,1,102.77,Month-to-month,Mailed check,3,1
289,37,53,69.0,Two year,Bank transfer,0,0
290,40,4,51.72,One year,Bank transfer,0,0
291,38,17,68.32,Month-to-month,Credit card,1,0
292,44,9,92.13,One year,Bank transfer,1,0
293,62,36,88.91,Two year,Electronic check,2,0
294,18,30,68.12,Month-to-month,Credit card,1,0
295,38,0,90.94,Month-to-month,Bank transfer,4,1
296,44,7,74.55,Two year,Credit card,2,0
297,46,31,60.33,Month-to-month,Mailed check,3,0
298,36,16,54.7,Month-to-month,Mailed check,2,0
299,18,72,91.06,One year,Bank transfer,0,0
300,46,72,78.74,One year,Credit card,1,0
301,66,26,39.51,Month-to-month,Electronic check,0,0
302,20,3,91.63,Month-to-month,Mailed check,1,0
303,54,22,61.29,Two year,Bank transfer,3,0
304,37,26,113.7,Month-to-month,Credit card,0,1
305,41,38,40.63,One year,Electronic check,1,0
306,27,54,73.58,Two year,Electronic check,2,0
307,37,2,52.8,Month-to-month,Mailed check,0,0
308,60,72,56.41,Two year,Electronic check,0,0
309,50,3,58.28,One year,Electronic check,1,0
310,66,3,114.71,Two year,Mailed check,1,0
311,58,6,74.48,Month-to-month,Bank transfer,0,0
312,48,39,56.06,Month-to-month,Mailed check,2,0
313,66,6,25.18,One year,Mailed check,1,0
314,48,32,31.77,Two year,Credit card,2,0
315,53,37,62.14,Two year,Mailed check,2,0
316,37,7,55.21,Month-to-month,Credit card,0,1
317,42,20,67.4,Month-to-month,Electronic check,1,1
318,32,12,18.0,Month-to-month,Credit card,0,0
319,55,72,78.51,One year,Credit card,4,0
320,25,15,97.94,Two year,Electronic check,2,1
321,52,0,110.57,One year,Bank transfer,4,1
322,39,17,25.19,Month-to-month,Bank transfer,2,1
323,58,21,53.12,Two year,Mailed check,2,0
324,52,10,50.14,Month-to-month,Credit card,1,0
325,67,64,83.24,Month-to-month,Electronic check,0,0
326,52,43,45.96,One year,Mailed check,0,0
327,19,11,113.71,Month-to-month,Credit card,1,0
328,41,8,72.29,One year,Electronic check,2,0
329,25,7,67.97,One year,Electronic check,2,0
330,34,5,110.57,Month-to-month,Electronic check,3,1
331,63,56,78.0,Month-to-month,Credit card,3,0
332,50,10,81.51,Month-to-month,Electronic check,1,1
333,32,2,51.53,One year,Electronic check,2,1
334,27,31,40.39,Month-to-month,Bank transfer,2,0
335,42,2,55.04,Month-to-month,Bank transfer,1,0
336,24,66,134.57,Month-to-month,Mailed check,2,0
337,32,1,85.98,One year,Credit card,1,0
338,46,12,78.66,Month-to-month,Electronic check,4,1
339,58,15,47.84,Month-to-month,Bank transfer,1,0
340,50,21,95.93,Month-to-month,Bank transfer,1,0
341,18,2,36.36,Month-to-month,Electronic check,2,0
342,46,35,36.07,Month-to-month,Credit card,1,0
343,43,10,57.53,Month-to-month,Bank transfer,0,0
344,47,28,123.06,One year,Electronic check,2,0
345,64,12,119.25,Month-to-month,Electronic check,1,1
346,18,19,61.57,Month-to-month,Electronic check,1,1
347,33,52,60.95,Two year,Credit card,1,0
348,50,0,28.99,Month-to-month,Electronic check,4,1
349,19,1,72.1,Month-to-month,Credit card,2,0
350,62,46,80.95,Month-to-month,Electronic check,0,0
351,47,72,100.54,Month-to-month,Credit card,1,0
352,53,51,100.42,Month-to-month,Credit card,0,0
353,34,56,73.46,Two year,Electronic check,2,0
354,53,9,85.25,Month-to-month,Electronic check,1,0
355,56,72,63.28,One year,Credit card,2,0
356,45,21,86.58,Two year,Electronic check,2,0
357,45,4,57.92,Month-to-month,Electronic check,3,1
358,45,3,81.94,One year,Credit card,1,0
359,29,6,80.36,Month-to-month,Credit card,2,0
360,39,29,76.07,Month-to-month,Bank transfer,4,0
361,39,68,100.06,Two year,Credit card,1,0
362,47,10,32.24,Month-to-month,Bank transfer,1,1
363,55,28,47.58,Two year,Credit card,2,0
364,27,14,65.35,One year,Electronic check,0,0
365,40,0,33.92,Month-to-month,Credit card,3,0
366,62,4,60.43,Month-to-month,Bank transfer,1,0
367,31,3,61.08,One year,Bank transfer,0,0
368,30,22,106.04,Month-to-month,Credit card,0,0
369,44,0,73.56,Month-to-month,Mailed check,4,0
370,53,11,97.39,Month-to-month,Bank transfer,0,0
371,42,72,88.34,Month-to-month,Mailed check,1,0
372,60,3,57.06,Two year,Electronic check,0,0
373,53,5,74.09,Month-to-month,Electronic check,1,0
374,53,6,89.14,Month-to-month,Credit card,3,0
375,49,24,103.44,One year,Mailed check,1,0
376,74,27,70.74,One year,Bank transfer,0,0
377,39,5,29.56,Two year,Bank transfer,1,0
378,18,11,28.7,Two year,Credit card,2,0
379,64,10,63.34,Month-to-month,Bank transfer,0,0
380,35,4,18.0,Month-to-month,Electronic check,0,0
381,43,4,115.48,One year,Mailed check,2,0
382,60,55,93.17,Month-to-month,Bank transfer,1,0
383,19,2,54.41,One year,Electronic check,2,0
384,24,11,43.91,Month-to-month,Mailed check,2,1
385,19,2,96.0,Two year,Electronic check,5,0
386,30,17,44.71,One year,Electronic check,2,0
387,48,27,48.59,One year,Credit card,3,0
388,49,14,52.95,Month-to-month,Credit card,3,0
389,45,7,73.9,Two year,Bank transfer,0,0
390,22,25,89.27,One year,Electronic check,0,0
391,18,6,100.72,Two year,Credit card,0,0
392,42,43,102.57,Two year,Bank transfer,0,0
393,35,7,71.07,Month-to-month,Credit card,1,1
394,48,6,96.41,Month-to-month,Electronic check,2,0
395,51,64,62.83,Month-to-month,Electronic check,1,0
396,43,67,34.53,One year,Bank transfer,2,0
397,52,7,54.27,One year,Credit card,1,0
398,45,62,59.14,Month-to-month,Electronic check,1,0
399,49,66,64.1,Two year,Electronic check,1,0
400,32,8,47.22,Month-to-month,Bank transfer,1,0
401,39,49,65.82,One year,Credit card,0,0
402,44,72,96.3,Month-to-month,Credit card,1,0
403,53,0,112.88,Month-to-month,Credit card,4,1
404,36,41,33.02,Month-to-month,Bank transfer,3,0
405,49,0,37.81,One year,Credit card,1,0
406,38,54,58.31,One year,Mailed check,5,0
407,40,4,89.74,Month-to-month,Electronic check,6,1
408,53,40,70.88,Month-to-month,Bank transfer,3,0
409,18,5,52.65,One year,Bank transfer,5,0
410,23,9,89.27,Month-to-month,Mailed check,2,0
411,21,8,95.11,One year,Electronic check,1,0
412,18,10,71.03,Month-to-month,Credit card,2,1
413,32,50,57.09,Two year,Credit card,2,0
414,52,12,78.56,One year,Mailed check,0,0
415,38,15,66.42,Month-to-month,Credit card,1,0
416,44,1,64.12,One year,Mailed check,0,0
417,57,15,59.44,Month-to-month,Electronic check,2,0
418,60,6,94.02,Two year,Electronic check,2,0
419,41,9,77.6,One year,Mailed check,1,0
420,60,29,100.24,Month-to-month,Electronic check,3,0
421,43,8,104.61,One year,Bank transfer,3,0
422,30,10,82.97,Month-to-month,Credit card,2,0
423,33,24,60.94,Two year,Mailed check,0,0
424,21,9,97.36,Two year,Credit card,2,0
425,29,27,85.69,One year,Credit card,1,0
426,36,4,135.68,Month-to-month,Mailed check,4,1
427,53,2,78.05,One year,Electronic check,2,0
428,66,7,88.49,Month-to-month,Electronic check,1,1
429,22,20,80.26,Month-to-month,Bank transfer,2,0
430,47,6,68.42,Two year,Mailed check,3,0
431,27,72,74.33,Month-to-month,Bank transfer,4,0
432,48,26,81.26,Month-to-month,Bank transfer,0,0
433,40,10,84.53,Month-to-month,Bank transfer,1,0
434,18,72,109.66,Two year,Electronic check,1,0
435,54,11,79.37,Two year,Electronic check,1,0
436,33,0,58.43,Month-to-month,Mailed check,5,1
437,34,15,64.08,Month-to-month,Credit card,2,1
438,27,30,41.43,Two year,Bank transfer,0,0
439,32,8,112.73,Month-to-month,Bank transfer,0,1
440,47,2,56.77,Two year,Bank transfer,3,0
441,39,70,104.69,Two year,Mailed check,0,0
442,46,13,78.86,One year,Electronic check,1,1
443,47,31,82.24,Month-to-month,Electronic check,6,0
444,60,45,73.81,One year,Electronic check,2,0
445,37,20,53.31,Two year,Electronic check,0,0
446,21,18,48.49,Month-to-month,Electronic check,3,1
447,56,16,115.61,Two year,Credit card,3,0
448,37,69,83.2,Month-to-month,Electronic check,1,0
449,57,9,99.48,Two year,Electronic check,1,0
450,47,34,109.72,One year,Electronic check,1,0
451,40,19,62.58,Month-to-month,Electronic check,3,0
452,46,2,80.89,Month-to-month,Electronic check,2,1
453,69,29,75.48,Month-to-month,Electronic check,0,0
454,71,44,47.67,Month-to-month,Electronic check,0,0
455,42,11,67.01,Two year,Credit card,2,0
456,44,24,88.29,Month-to-month,Electronic check,1,0
457,57,13,59.47,Two year,Electronic check,1,0
458,30,0,61.88,Month-to-month,Mailed check,1,0
459,46,11,67.32,One year,Electronic check,3,0
460,41,13,124.74,Two year,Bank transfer,3,0
461,46,72,34.95,One year,Mailed check,1,0
462,30,25,86.29,Two year,Credit card,1,0
463,19,5,64.42,Two year,Credit card,2,0
464,18,14,56.08,One year,Bank transfer,2,0
465,26,3,63.5,One year,Electronic check,1,0
466,35,51,94.33,Month-to-month,Mailed check,3,1
467,37,52,95.91,Month-to-month,Electronic check,1,0
468,69,38,80.35,Month-to-month,Credit card,0,0
469,57,8,98.52,Two year,Electronic check,1,1
470,28,1,101.87,One year,Bank transfer,1,0
471,46,10,91.91,One year,Electronic check,2,0
472,36,54,64.45,Two year,Mailed check,1,0
473,38,47,89.41,Month-to-month,Electronic check,0,0
474,44,3,82.93,Two year,Mailed check,1,0
475,50,24,53.21,Month-to-month,Bank transfer,2,0
476,37,13,32.71,Month-to-month,Bank transfer,3,0
477,56,25,23.18,One year,Electronic check,0,0
478,26,26,75.65,Month-to-month,Electronic check,0,1
479,42,2,77.75,One year,Credit card,2,0
480,78,11,42.11,One year,Mailed check,0,0
481,45,5,96.9,Two year,Bank transfer,0,0
482,62,17,76.36,Month-to-month,Mailed check,2,1
483,43,3,104.19,Month-to-month,Bank transfer,3,1
484,50,8,80.46,Month-to-month,Bank transfer,3,0
485,41,10,44.84,Month-to-month,Electronic check,3,0
486,39,12,83.26,Month-to-month,Mailed check,0,0
487,31,38,92.45,Month-to-month,Mailed check,1,0
488,48,0,56.31,Two year,Electronic check,2,0
489,30,53,41.9,Two year,Bank transfer,0,0
490,51,17,75.06,Two year,Electronic check,1,0
491,57,22,48.28,Month-to-month,Electronic check,0,0
492,47,3,98.47,One year,Credit card,1,1
493,37,21,62.97,Month-to-month,Credit card,3,0
494,48,12,114.92,Month-to-month,Electronic check,3,1
495,37,3,18.0,Month-to-month,Bank transfer,1,0
496,55,23,76.82,Two year,Electronic check,0,0
497,18,3,106.18,One year,Bank transfer,1,1
498,37,3,48.19,Month-to-month,Mailed check,2,0
499,18,72,76.82,One year,Credit card,2,0
500,21,17,62.47,Two year,Mailed check,0,0
501,61,39,58.76,Month-to-month,Mailed check,3,1
502,54,1,76.27,Two year,Credit card,2,0
503,31,12,39.41,Month-to-month,Electronic check,2,0
504,20,2,67.53,Month-to-month,Electronic check,1,1
505,18,4,83.5,Two year,Mailed check,2,0
506,34,35,69.87,Month-to-month,Bank transfer,2,0
507,75,11,46.64,One year,Electronic check,6,0
508,48,72,106.55,Month-to-month,Bank transfer,0,0
509,34,2,88.56,One year,Mailed check,2,0
510,48,12,45.77,One year,Bank transfer,1,0
511,20,7,38.7,Two year,Credit card,1,0
512,37,6,47.1,Two year,Mailed check,2,0
513,43,5,84.38,One year,Bank transfer,3,0
514,40,21,80.04,Month-to-month,Mailed check,0,0
515,53,5,90.5,Month-to-month,Electronic check,1,0
516,46,25,65.6,One year,Credit card,2,0
517,51,11,48.53,Month-to-month,Credit card,2,0
518,32,23,96.42,Month-to-month,Credit card,1,0
519,54,4,56.76,Two year,Credit card,3,0
520,64,57,83.21,Month-to-month,Mailed check,0,0
521,28,38,36.95,Month-to-month,Bank transfer,4,0
522,29,19,58.6,Two year,Electronic check,1,0
523,60,41,101.38,One year,Credit card,1,0
524,39,18,54.79,One year,Bank transfer,0,0
525,61,0,90.36,Month-to-month,Electronic check,4,0
526,35,17,18.0,Month-to-month,Credit card,3,0
527,62,11,57.67,One year,Bank transfer,3,0
528,43,11,67.37,Month-to-month,Credit card,0,0
529,45,29,117.91,One year,Bank transfer,1,0
530,63,3,41.22,Month-to-month,Credit card,3,0
531,36,62,96.07,Month-to-month,Mailed check,1,0
532,28,29,100.77,Month-to-month,Mailed check,1,0
533,35,16,54.36,Month-to-month,Bank transfer,1,0
534,48,9,62.01,Month-to-month,Electronic check,2,1
535,20,53,81.49,One year,Electronic check,1,0
536,50,8,34.16,One year,Credit card,4,0
537,34,72,69.42,Month-to-month,Credit card,1,0
538,58,21,105.05,One year,Credit card,2,0
539,18,67,93.12,Month-to-month,Electronic check,2,1
540,30,7,67.13,Month-to-month,Electronic check,2,1
541,18,70,83.33,Two year,Credit card,0,0
542,30,44,91.12,One year,Electronic check,3,0
543,45,3,89.76,One year,Mailed check,0,0
544,39,40,62.09,Month-to-month,Electronic check,1,0
545,38,25,112.12,Month-to-month,Credit card,2,0
546,39,0,102.91,One year,Mailed check,4,0
547,44,61,96.08,One year,Electronic check,2,0
548,27,4,49.53,One year,Mailed check,2,0
549,51,1,44.64,Two year,Electronic check,1,0
550,51,1,61.98,Month-to-month,Bank transfer,2,1
551,47,3,71.97,Two year,Bank transfer,1,0
